t_days,Ca_uM,YAP_nuclear,NFkB_active,STAT6_active,phenotype_inflammatory,phenotype_transitional,phenotype_healing,phenotype_fbgc_prone,fbgc_risk
0.0,0.1,0.125,0.05,0.0,0.08,0.095,0.2625,0.0,0.0
0.0007,0.11009,0.13597,0.04704,1e-05,0.08261,0.08966,0.25922,1e-05,0.0
0.0014,0.11994,0.14786,0.04547,2e-05,0.08642,0.0868,0.25566,1e-05,0.0
0.0021,0.12956,0.16057,0.04514,4e-05,0.09131,0.08621,0.25185,2e-05,0.0
0.0028,0.13895,0.17401,0.04592,5e-05,0.09716,0.08764,0.24783,2e-05,0.0
0.0035,0.14811,0.18806,0.04769,6e-05,0.10384,0.09085,0.24362,3e-05,0.0
0.0042,0.15707,0.20262,0.05033,7e-05,0.11125,0.09561,0.23926,3e-05,0.0
0.0049,0.1658,0.21755,0.05373,8e-05,0.11926,0.1017,0.23479,4e-05,0.0
0.0056,0.17434,0.23274,0.05778,9e-05,0.12777,0.10891,0.23024,4e-05,0.0
0.0062,0.18267,0.24806,0.0624,0.00011,0.13667,0.11704,0.22565,5e-05,0.0
0.0069,0.19081,0.26342,0.0675,0.00012,0.14587,0.12593,0.22106,5e-05,0.0
0.0076,0.19875,0.27872,0.07301,0.00013,0.15529,0.13539,0.21648,6e-05,0.0
0.0083,0.20651,0.29385,0.07884,0.00014,0.16484,0.14529,0.21194,6e-05,0.0
0.009,0.21408,0.30875,0.08494,0.00015,0.17447,0.1555,0.20748,6e-05,0.0
0.0097,0.22148,0.32335,0.09125,0.00016,0.18409,0.1659,0.20311,7e-05,0.0
0.0104,0.2287,0.3376,0.09771,0.00017,0.19367,0.17639,0.19884,7e-05,0.0
0.0111,0.23575,0.35144,0.10429,0.00019,0.20315,0.18689,0.1947,7e-05,0.0
0.0118,0.24264,0.36485,0.11093,0.0002,0.2125,0.19733,0.19068,8e-05,0.0
0.0125,0.24937,0.37779,0.1176,0.00021,0.22168,0.20763,0.18681,8e-05,0.0
0.0132,0.25594,0.39025,0.12426,0.00022,0.23066,0.21774,0.18308,8e-05,0.0
0.0139,0.26235,0.40222,0.13089,0.00023,0.23943,0.22763,0.17949,8e-05,0.0
0.0146,0.26862,0.4137,0.13746,0.00024,0.24796,0.23725,0.17606,9e-05,0.0
0.0153,0.27474,0.42468,0.14395,0.00025,0.25624,0.24658,0.17277,9e-05,0.0
0.016,0.28071,0.43516,0.15033,0.00026,0.26426,0.25559,0.16964,9e-05,0.0
0.0167,0.28655,0.44517,0.15659,0.00027,0.27202,0.26428,0.16664,9e-05,0.0
0.0174,0.29225,0.4547,0.16271,0.00028,0.2795,0.27262,0.16379,0.0001,0.0
0.0181,0.29782,0.46377,0.16868,0.0003,0.28671,0.28062,0.16108,0.0001,0.0
0.0188,0.30326,0.4724,0.17449,0.00031,0.29365,0.28826,0.15849,0.0001,0.0
0.0194,0.30857,0.48061,0.18013,0.00032,0.30032,0.29555,0.15604,0.0001,0.0
0.0201,0.31376,0.4884,0.18559,0.00033,0.30671,0.30249,0.15371,0.0001,0.0
0.0208,0.31883,0.49581,0.19087,0.00034,0.31284,0.30908,0.15149,0.0001,0.0
0.0215,0.32379,0.50284,0.19596,0.00035,0.31871,0.31534,0.14939,0.00011,0.0
0.0222,0.32863,0.50951,0.20086,0.00036,0.32432,0.32126,0.1474,0.00011,0.0
0.0229,0.33335,0.51585,0.20557,0.00037,0.32968,0.32687,0.1455,0.00011,0.0
0.0236,0.33797,0.52187,0.21009,0.00038,0.3348,0.33216,0.14371,0.00011,0.0
0.0243,0.34248,0.52758,0.21442,0.00039,0.33969,0.33715,0.142,0.00011,0.0
0.025,0.34689,0.53301,0.21856,0.0004,0.34434,0.34185,0.14038,0.00011,0.0
0.0257,0.3512,0.53817,0.22251,0.00041,0.34877,0.34628,0.13884,0.00011,0.0
0.0264,0.3554,0.54308,0.22627,0.00042,0.35299,0.35044,0.13737,0.00012,0.0
0.0271,0.35951,0.54774,0.22985,0.00043,0.35701,0.35435,0.13598,0.00012,0.0
0.0278,0.36353,0.55218,0.23326,0.00044,0.36082,0.35801,0.13466,0.00012,0.0
0.0285,0.36746,0.5564,0.23648,0.00045,0.36445,0.36144,0.1334,0.00012,0.0
0.0292,0.37129,0.56042,0.23954,0.00046,0.3679,0.36466,0.1322,0.00012,0.0
0.0299,0.37504,0.56426,0.24244,0.00047,0.37117,0.36767,0.13105,0.00012,0.0
0.0306,0.3787,0.56791,0.24517,0.00048,0.37427,0.37048,0.12996,0.00012,0.0
0.0312,0.38228,0.5714,0.24776,0.00049,0.37721,0.37311,0.12892,0.00012,0.0
0.0319,0.38578,0.57473,0.25019,0.0005,0.38001,0.37557,0.12793,0.00013,0.0
0.0326,0.3892,0.57791,0.25248,0.00051,0.38265,0.37785,0.12699,0.00013,0.0
0.0333,0.39254,0.58095,0.25464,0.00052,0.38516,0.37999,0.12608,0.00013,0.0
0.034,0.39581,0.58386,0.25666,0.00053,0.38754,0.38197,0.12521,0.00013,0.0
0.0347,0.399,0.58664,0.25856,0.00054,0.38979,0.38383,0.12439,0.00013,0.0
0.0354,0.40212,0.58931,0.26034,0.00055,0.39193,0.38555,0.12359,0.00013,0.0
0.0361,0.40517,0.59187,0.262,0.00056,0.39395,0.38715,0.12283,0.00013,0.0
0.0368,0.40816,0.59432,0.26356,0.00057,0.39586,0.38863,0.1221,0.00013,0.0
0.0375,0.41107,0.59667,0.26501,0.00058,0.39768,0.39001,0.1214,0.00014,0.0
0.0382,0.41392,0.59893,0.26637,0.00059,0.3994,0.3913,0.12073,0.00014,0.0
0.0389,0.41671,0.6011,0.26764,0.0006,0.40102,0.39248,0.12009,0.00014,0.0
0.0396,0.41943,0.60319,0.26882,0.00061,0.40257,0.39359,0.11947,0.00014,0.0
0.0403,0.42209,0.6052,0.26991,0.00062,0.40403,0.39461,0.11887,0.00014,0.0
0.041,0.4247,0.60714,0.27093,0.00063,0.40542,0.39555,0.1183,0.00014,0.0
0.0417,0.42725,0.609,0.27188,0.00064,0.40673,0.39643,0.11774,0.00015,0.0
0.0424,0.42974,0.6108,0.27276,0.00065,0.40798,0.39724,0.11721,0.00015,0.0
0.0431,0.43217,0.61254,0.27358,0.00065,0.40916,0.39799,0.1167,0.00015,0.0
0.0438,0.43455,0.61421,0.27433,0.00066,0.41028,0.39868,0.1162,0.00015,0.0
0.0444,0.43688,0.61583,0.27503,0.00067,0.41135,0.39932,0.11572,0.00015,0.0
0.0451,0.43916,0.61739,0.27568,0.00068,0.41236,0.3999,0.11526,0.00015,0.0
0.0458,0.44139,0.6189,0.27628,0.00069,0.41333,0.40045,0.11481,0.00015,0.0
0.0465,0.44357,0.62036,0.27683,0.0007,0.41424,0.40095,0.11438,0.00016,0.0
0.0472,0.4457,0.62177,0.27734,0.00071,0.41511,0.40141,0.11397,0.00016,0.0
0.0479,0.44778,0.62314,0.27781,0.00072,0.41594,0.40184,0.11356,0.00016,0.0
0.0486,0.44982,0.62446,0.27824,0.00073,0.41673,0.40223,0.11317,0.00016,0.0
0.0493,0.45182,0.62574,0.27864,0.00074,0.41748,0.40259,0.11279,0.00016,0.0
0.05,0.45377,0.62699,0.27901,0.00074,0.4182,0.40292,0.11243,0.00016,0.0
0.0507,0.45568,0.62819,0.27935,0.00075,0.41888,0.40323,0.11207,0.00017,0.0
0.0514,0.45755,0.62936,0.27966,0.00076,0.41954,0.40351,0.11173,0.00017,0.0
0.0521,0.45938,0.63049,0.27994,0.00077,0.42016,0.40377,0.11139,0.00017,0.0
0.0528,0.46117,0.6316,0.2802,0.00078,0.42076,0.40401,0.11107,0.00017,0.0
0.0535,0.46292,0.63266,0.28044,0.00079,0.42133,0.40422,0.11075,0.00017,0.0
0.0542,0.46463,0.6337,0.28066,0.0008,0.42188,0.40443,0.11045,0.00017,0.0
0.0549,0.46631,0.63471,0.28086,0.00081,0.4224,0.40461,0.11015,0.00018,0.0
0.0556,0.46795,0.63569,0.28105,0.00081,0.4229,0.40478,0.10986,0.00018,0.0
0.0562,0.46956,0.63664,0.28122,0.00082,0.42339,0.40493,0.10958,0.00018,0.0
0.0569,0.47114,0.63757,0.28137,0.00083,0.42385,0.40507,0.10931,0.00018,0.0
0.0576,0.47268,0.63847,0.28151,0.00084,0.42429,0.4052,0.10905,0.00018,0.0
0.0583,0.47418,0.63934,0.28164,0.00085,0.42472,0.40532,0.10879,0.00019,0.0
0.059,0.47566,0.64019,0.28176,0.00086,0.42513,0.40543,0.10854,0.00019,0.0
0.0597,0.47711,0.64102,0.28186,0.00087,0.42553,0.40553,0.1083,0.00019,0.0
0.0604,0.47852,0.64183,0.28196,0.00087,0.42591,0.40563,0.10806,0.00019,0.0
0.0611,0.47991,0.64261,0.28205,0.00088,0.42627,0.40571,0.10783,0.00019,0.0
0.0618,0.48127,0.64337,0.28213,0.00089,0.42663,0.40579,0.10761,0.00019,0.0
0.0625,0.4826,0.64412,0.2822,0.0009,0.42697,0.40586,0.10739,0.0002,0.0
0.0632,0.4839,0.64484,0.28227,0.00091,0.4273,0.40592,0.10718,0.0002,0.0
0.0639,0.48517,0.64555,0.28233,0.00092,0.42762,0.40598,0.10698,0.0002,0.0
0.0646,0.48642,0.64623,0.28239,0.00092,0.42792,0.40604,0.10678,0.0002,0.0
0.0653,0.48765,0.6469,0.28243,0.00093,0.42822,0.40609,0.10658,0.0002,0.0
0.066,0.48885,0.64755,0.28248,0.00094,0.42851,0.40613,0.10639,0.0002,0.0
0.0667,0.49002,0.64819,0.28252,0.00095,0.42879,0.40617,0.10621,0.00021,0.0
0.0674,0.49117,0.64881,0.28256,0.00096,0.42906,0.40621,0.10603,0.00021,0.0
0.0681,0.4923,0.64941,0.28259,0.00096,0.42932,0.40625,0.10585,0.00021,0.0
0.0688,0.49341,0.65,0.28262,0.00097,0.42957,0.40628,0.10568,0.00021,0.0
0.0694,0.49449,0.65057,0.28265,0.00098,0.42981,0.40631,0.10552,0.00021,0.0
0.0701,0.49555,0.65113,0.28267,0.00099,0.43005,0.40634,0.10535,0.00021,0.0
0.0708,0.49659,0.65167,0.28269,0.001,0.43028,0.40636,0.1052,0.00022,0.0
0.0715,0.49761,0.6522,0.28271,0.001,0.43051,0.40638,0.10504,0.00022,0.0
0.0722,0.49862,0.65272,0.28273,0.00101,0.43072,0.4064,0.10489,0.00022,0.0
0.0729,0.4996,0.65322,0.28274,0.00102,0.43093,0.40642,0.10475,0.00022,0.0
0.0736,0.50056,0.65371,0.28275,0.00103,0.43114,0.40644,0.10461,0.00022,0.0
0.0743,0.5015,0.65419,0.28276,0.00104,0.43133,0.40646,0.10447,0.00022,0.0
0.075,0.50243,0.65466,0.28277,0.00104,0.43153,0.40647,0.10433,0.00023,0.0
0.0757,0.50333,0.65511,0.28278,0.00105,0.43171,0.40648,0.1042,0.00023,0.0
0.0764,0.50422,0.65556,0.28279,0.00106,0.4319,0.40649,0.10407,0.00023,0.0
0.0771,0.5051,0.65599,0.28279,0.00107,0.43207,0.4065,0.10395,0.00023,0.0
0.0778,0.50595,0.65641,0.28279,0.00107,0.43224,0.40651,0.10383,0.00023,0.0
0.0785,0.50679,0.65682,0.2828,0.00108,0.43241,0.40652,0.10371,0.00023,0.0
0.0792,0.50762,0.65723,0.2828,0.00109,0.43257,0.40653,0.10359,0.00024,0.0
