t_days,Ca_uM,YAP_nuclear,NFkB,STAT6,inflam,transit,healing,fbgc_prone,fbgc_risk
0.0,0.1,0.125,0.05,0.0,0.08,0.095,0.32917,0.0,0.0
0.0007,0.10875,0.13592,0.04692,1e-05,0.08252,0.08945,0.3259,1e-05,0.0
0.0014,0.1173,0.14764,0.04502,2e-05,0.08607,0.08599,0.32239,2e-05,0.0
0.0021,0.12564,0.16008,0.04418,3e-05,0.09054,0.08446,0.31867,3e-05,0.0
0.0028,0.13379,0.17315,0.04429,4e-05,0.09583,0.08466,0.31475,4e-05,0.0
0.0035,0.14174,0.18676,0.04525,5e-05,0.10186,0.08641,0.31068,4e-05,0.0
0.0042,0.14951,0.20081,0.04697,7e-05,0.10851,0.08954,0.30647,5e-05,0.0
0.0049,0.15709,0.2152,0.04936,8e-05,0.11569,0.09385,0.30216,6e-05,0.0
0.0056,0.1645,0.2298,0.05233,9e-05,0.12332,0.0992,0.29779,7e-05,0.0
0.0062,0.17172,0.24454,0.05582,0.0001,0.13131,0.10543,0.29337,8e-05,0.0
0.0069,0.17878,0.2593,0.05975,0.00011,0.13957,0.11238,0.28895,8e-05,0.0
0.0076,0.18567,0.274,0.06405,0.00012,0.14803,0.11993,0.28455,9e-05,0.0
0.0083,0.1924,0.28857,0.06868,0.00013,0.15664,0.12796,0.28019,0.0001,0.0
0.009,0.19897,0.30293,0.07358,0.00014,0.16532,0.13636,0.27589,0.00011,0.0
0.0097,0.20539,0.31701,0.07869,0.00015,0.17402,0.14504,0.27167,0.00011,0.0
0.0104,0.21165,0.33078,0.08397,0.00016,0.1827,0.15389,0.26755,0.00012,0.0
0.0111,0.21777,0.34418,0.08939,0.00017,0.19131,0.16286,0.26353,0.00012,0.0
0.0118,0.22375,0.35718,0.09491,0.00018,0.19982,0.17187,0.25964,0.00013,0.0
0.0125,0.22958,0.36976,0.10049,0.00019,0.2082,0.18086,0.25587,0.00014,0.0
0.0132,0.23528,0.38189,0.10611,0.0002,0.21642,0.18978,0.25224,0.00014,0.0
0.0139,0.24084,0.39357,0.11174,0.00021,0.22447,0.19859,0.24875,0.00015,0.0
0.0146,0.24627,0.40478,0.11735,0.00022,0.23232,0.20726,0.24539,0.00015,0.0
0.0153,0.25158,0.41552,0.12293,0.00023,0.23997,0.21574,0.24217,0.00015,0.0
0.016,0.25676,0.42581,0.12846,0.00024,0.2474,0.22402,0.23909,0.00016,0.0
0.0167,0.26183,0.43563,0.13391,0.00025,0.2546,0.23208,0.23615,0.00016,0.0
0.0174,0.26677,0.44501,0.13928,0.00026,0.26157,0.23989,0.23335,0.00017,0.0
0.0181,0.2716,0.45395,0.14456,0.00027,0.26831,0.24745,0.23067,0.00017,0.0
0.0188,0.27631,0.46247,0.14972,0.00028,0.27482,0.25475,0.22812,0.00017,0.0
0.0194,0.28092,0.47058,0.15477,0.00029,0.28109,0.26178,0.2257,0.00018,0.0
0.0201,0.28542,0.4783,0.15969,0.0003,0.28713,0.26853,0.22339,0.00018,0.0
0.0208,0.28981,0.48563,0.16447,0.00031,0.29294,0.27502,0.2212,0.00018,0.0
0.0215,0.2941,0.49261,0.16912,0.00032,0.29852,0.28122,0.21911,0.00019,0.0
0.0222,0.2983,0.49924,0.17363,0.00033,0.30387,0.28715,0.21713,0.00019,0.0
0.0229,0.30239,0.50555,0.17799,0.00034,0.30901,0.29282,0.21524,0.00019,0.0
0.0236,0.30639,0.51154,0.1822,0.00035,0.31394,0.29822,0.21345,0.0002,0.0
0.0243,0.3103,0.51724,0.18627,0.00036,0.31866,0.30336,0.21175,0.0002,0.0
0.025,0.31412,0.52266,0.19018,0.00037,0.32317,0.30825,0.21013,0.0002,0.0
0.0257,0.31785,0.52782,0.19394,0.00038,0.32749,0.31289,0.20859,0.0002,0.0
0.0264,0.32149,0.53272,0.19755,0.00039,0.33162,0.31729,0.20712,0.00021,0.0
0.0271,0.32505,0.53739,0.20101,0.0004,0.33556,0.32147,0.20573,0.00021,0.0
0.0278,0.32853,0.54184,0.20433,0.00041,0.33933,0.32542,0.2044,0.00021,0.0
0.0285,0.33193,0.54607,0.20749,0.00042,0.34293,0.32916,0.20314,0.00022,0.0
0.0292,0.33525,0.55011,0.21052,0.00043,0.34636,0.33269,0.20193,0.00022,0.0
0.0299,0.3385,0.55396,0.21341,0.00044,0.34963,0.33602,0.20078,0.00022,0.0
0.0306,0.34167,0.55764,0.21616,0.00045,0.35275,0.33917,0.19969,0.00022,0.0
0.0312,0.34476,0.56115,0.21877,0.00045,0.35572,0.34213,0.19864,0.00023,0.0
0.0319,0.34779,0.56451,0.22126,0.00046,0.35856,0.34492,0.19764,0.00023,0.0
0.0326,0.35075,0.56772,0.22362,0.00047,0.36126,0.34755,0.19668,0.00023,0.0
0.0333,0.35364,0.57079,0.22585,0.00048,0.36383,0.35002,0.19577,0.00023,0.0
0.034,0.35647,0.57373,0.22797,0.00049,0.36628,0.35235,0.19489,0.00024,0.0
0.0347,0.35923,0.57655,0.22998,0.0005,0.36861,0.35453,0.19405,0.00024,0.0
0.0354,0.36192,0.57925,0.23187,0.00051,0.37082,0.35658,0.19325,0.00024,0.0
0.0361,0.36456,0.58184,0.23366,0.00052,0.37293,0.3585,0.19248,0.00024,0.0
0.0368,0.36714,0.58433,0.23535,0.00053,0.37494,0.3603,0.19174,0.00025,0.0
0.0375,0.36966,0.58672,0.23695,0.00054,0.37686,0.36199,0.19103,0.00025,0.0
0.0382,0.37212,0.58902,0.23844,0.00054,0.37867,0.36357,0.19034,0.00025,0.0
0.0389,0.37453,0.59123,0.23986,0.00055,0.38041,0.36505,0.18968,0.00025,0.0
0.0396,0.37688,0.59336,0.24118,0.00056,0.38205,0.36644,0.18905,0.00026,0.0
0.0403,0.37918,0.59541,0.24243,0.00057,0.38362,0.36773,0.18844,0.00026,0.0
0.041,0.38143,0.59739,0.2436,0.00058,0.38512,0.36894,0.18786,0.00026,0.0
0.0417,0.38363,0.5993,0.2447,0.00059,0.38654,0.37007,0.18729,0.00026,0.0
0.0424,0.38578,0.60114,0.24572,0.0006,0.38789,0.37113,0.18674,0.00027,0.0
0.0431,0.38788,0.60291,0.24669,0.00061,0.38918,0.37212,0.18622,0.00027,0.0
0.0438,0.38993,0.60463,0.24759,0.00061,0.39041,0.37303,0.18571,0.00027,0.0
